Timestamp,Asset,Price_USD
2026-05-28 02:57:36,Bitcoin,74234
2026-05-28 03:21:43,Bitcoin,73651
2026-05-28 16:03:41,Bitcoin,72747
2026-05-29 15:40:17,Bitcoin,73982
2026-05-30 13:43:22,Bitcoin,73626
2026-05-31 13:48:45,Bitcoin,73784
2026-06-01 17:44:32,Bitcoin,71489
2026-06-02 16:36:49,Bitcoin,67693
2026-06-03 16:53:38,Bitcoin,65811
2026-06-04 15:20:33,Bitcoin,64093
2026-06-05 14:55:39,Bitcoin,60802
2026-06-06 13:48:05,Bitcoin,60950
2026-06-07 13:57:24,Bitcoin,61743
2026-06-08 15:56:48,Bitcoin,63863
2026-06-09 14:56:08,Bitcoin,61282
2026-06-10 15:39:10,Bitcoin,62270
2026-06-11 16:05:45,Bitcoin,62645
2026-06-12 15:19:42,Bitcoin,64293
2026-06-13 14:03:43,Bitcoin,64077
2026-06-14 14:07:35,Bitcoin,64289
2026-06-15 17:17:02,Bitcoin,66855
2026-06-16 16:57:43,Bitcoin,65690
2026-06-17 15:37:28,Bitcoin,65310
2026-06-18 15:29:56,Bitcoin,63300
2026-06-19 15:23:23,Bitcoin,63057
2026-06-20 14:08:19,Bitcoin,63256
2026-06-21 14:15:33,Bitcoin,64000
